Description,Data.Sugar Total,Data.Carbohydrate,Data.Fiber,Data.Kilocalories,Data.Fat.Saturated Fat
CUMIN SEED,2.25,44.24,10.5,375,1.535
CURRY POWDER,2.75999999,58.15,33.20000076,325,2.237
DILL SEED,0.0,55.17,21.10000038,305,0.73
"DILL WEED,DRIED",0.0,55.82,13.60000038,253,0.234
FENNEL SEED,0.0,52.29,39.79999924,345,0.48
FENUGREEK SEED,0.0,58.35,24.60000038,323,1.46
GARLIC POWDER,24.29999924,72.71,9.899999619,332,0.135
"GINGER,GROUND",3.390000105,70.79,12.5,347,1.94
"MACE,GROUND",0.0,50.5,20.20000076,475,9.51
"MARJORAM,DRIED",4.090000153,60.56,40.29999924,271,0.529
"MUSTARD SEED,YELLOW",6.789999962,34.94,14.69999981,469,1.46
"NUTMEG,GROUND",28.48999977,49.29,20.79999924,525,25.94
ONION POWDER,35.47999954,80.67,5.699999809,347,0.183
"SPICES,OREGANO,DRIED",4.090000153,64.43,42.79999924,306,2.66
PAPRIKA,10.34000015,55.74,37.40000153,289,2.1
"PARSLEY,DRIED",7.269999981,51.66,30.39999962,276,0.115
"PEPPER,BLACK",0.639999986,64.81,26.5,255,0.98
"PEPPER,RED OR CAYENNE",10.34000015,56.63,27.20000076,318,3.26
"PEPPER,WHITE",0.0,68.61,26.20000076,296,0.626
POPPY SEED,2.99000001,28.13,19.5,525,4.517
POULTRY SEASONING,3.079999924,65.59,11.30000019,307,3.29
PUMPKIN PIE SPICE,7.760000229,69.28,14.80000019,342,6.53
"ROSEMARY,DRIED",0.0,64.06,42.59999847,331,7.371
SAFFRON,0.0,65.37,3.900000095,310,1.586
"SAGE,GROUND",1.710000038,60.73,40.29999924,315,7.03
"SAVORY,GROUND",0.0,68.73,45.70000076,272,3.26
"SPICES,TARRAGON,DRIED",0.0,50.22,7.400000095,295,1.881
"SPICES,THYME,DRIED",1.710000038,63.94,37.0,276,2.73
"TURMERIC,GROUND",3.210000038,64.93,21.10000038,354,3.12
"BASIL,FRESH",0.300000012,2.65,1.600000024,23,0.041
"DILL WEED,FRSH",0.0,7.02,2.099999905,43,0.06
"MUSTARD,PREPARED,YELLOW",0.860000014,5.33,3.299999952,67,0.248
"SALT,TABLE",0.0,0.0,0.0,0,0.0
"VINEGAR,CIDER",0.400000006,0.93,0.0,21,0.0
"THYME,FRSH",0.0,24.45,14.0,101,0.467
VANILLA EXTRACT,12.64999962,12.65,0.0,288,0.01
"VANILLA EXTRACT,IMITN,ALCOHOL",0.0,2.41,0.0,237,0.0
"VANILLA EXTRACT,IMITN,NO ALCOHOL",14.39999962,14.4,0.0,56,0.0
"VINEGAR,DISTILLED",0.039999999,0.04,0.0,18,0.0
"CAPERS,CANNED",0.409999996,4.89,3.200000048,23,0.233
"HORSERADISH,PREPARED",7.989999771,11.29,3.299999952,48,0.09
"ROSEMARY,FRESH",0.0,20.7,14.10000038,131,2.838
"PEPPERMINT,FRESH",0.0,14.89,8.0,70,0.246
"SPEARMINT,FRESH",0.0,8.41,6.800000191,44,0.191
"SPEARMINT,DRIED",0.0,52.04,29.79999924,285,1.577
"VINEGAR,RED WINE",0.0,0.27,0.0,19,0.0
"VINEGAR,BALSAMIC",14.94999981,17.03,0.0,88,0.0
"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",18.76000023,56.29,18.79999924,188,0.0
"BABYFOOD,MEAT,BF,STR",0.0,2.43,0.0,81,1.18
"BABYFOOD,MEAT,BF,STR",0.0,2.43,0.0,81,1.18
"BABYFOOD,MEAT,VEAL,STR",0.0,1.51,0.0,81,1.063
"BABYFOOD,MEAT,PORK,STR",0.0,0.0,0.0,124,2.4
"BABYFOOD,MEAT,HAM,STR",0.0,3.7,0.0,97,1.267
"BABYFOOD,MEAT,HAM,JUNIOR",0.0,3.7,0.0,97,1.271
"BABYFOOD,MEAT,LAMB,STR",0.0,0.85,0.0,87,1.65
"BABYFOOD,MEAT,LAMB,JUNIOR",0.0,0.0,0.0,112,2.56
"BABYFOOD,MEAT,CHICK,STR",0.0,0.1,0.0,130,2.03
"BABYFOOD,MEAT,CHICK,JR",0.0,0.0,0.0,146,2.47
"BABYFOOD,MEAT,CHICK STKS,JR",1.399999976,1.5,0.200000003,188,4.094
"BABYFOOD,MEAT,TURKEY,STR",0.0,1.4,0.0,111,1.641
"BABYFOOD,MEAT,TURKEY,JR",0.0,1.4,0.0,111,1.641
"BABYFOOD,MEAT,TURKEY STKS,JR",1.399999976,1.4,0.5,182,4.143
"BABYFOOD,MEAT,MEAT STKS,JR",0.800000012,1.1,0.200000003,184,5.82
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",0.0,7.7,0.0,48,0.0
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",0.0,8.0,0.0,48,0.0
"BABYFOOD,DINNER,BF LASAGNA,TODD",0.0,10.0,0.0,77,0.0
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",2.089999914,9.45,1.200000048,61,0.486
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",2.430000067,9.4,1.100000024,59,0.411
"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",0.589999974,16.3,0.100000001,99,0.96
"BABYFOOD,DINNER,BF NOODLE,STR",1.419999957,8.18,1.299999952,63,0.937
"BABYFOOD,MACARONI&CHS,TODD",0.790000021,11.2,0.5,83,1.53
"BABYFOOD,DINNER,BF&RICE,TODD",0.0,8.8,0.0,82,0.0
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",2.720000029,11.42,1.100000024,68,0.543
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",0.0,10.8,0.0,75,0.0
"BABYFOOD,DINNER,BF STEW,TODD",1.389999986,5.5,1.100000024,51,0.58
"BABYFOOD,DINNER,VEG&BF,STR",2.339999914,8.84,1.299999952,77,1.367
"BABYFOOD,DINNER,VEG&BF,JR",2.339999914,8.84,1.299999952,77,1.367
"BABYFOOD,DINNER,BF W/VEG",2.160000086,6.36,1.799999952,96,2.84
"BABYFOOD,DINNER,VEG&BACON,STR",1.769999981,8.81,1.700000048,69,1.063
"BABYFOOD,DINNER,VEG&HAM,STR",1.370000005,7.8,1.600000024,59,0.764
"BABYFOOD,DINNER,VEG&HAM,JR",0.99000001,8.65,1.0,60,0.483
"BABYFOOD,DINNER,VEG&LAMB,STR",0.939999998,6.9,1.100000024,52,0.828
"BABYFOOD,DINNER,VEG&LAMB,JR",0.939999998,7.1,1.100000024,51,0.696
"BABYFOOD,DINNER,CHICK NOODLE,STR",2.5,9.08,2.099999905,66,0.595
"BABYFOOD,DINNER,CHICK NOODLE,JR",1.070000052,8.79,0.899999976,55,0.338
"BABYFOOD,DINNER,CHICK SOUP,STR",1.720000029,7.2,1.100000024,50,0.278
"BABYFOOD,DINNER,CHICK STEW,TODD",1.679999948,6.4,0.600000024,78,1.1
"BABYFOOD,DINNER,VEG CHICK,STR",1.580000043,8.42,2.099999905,59,0.496
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",0.0,7.9,1.100000024,63,0.0
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",0.0,9.1,1.100000024,64,0.0
"BABYFOOD,DINNER,PASTA W/VEG",1.200000048,8.4,1.5,60,1.23
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",0.0,6.8,1.100000024,44,0.0
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",0.0,7.6,1.100000024,52,0.0
"BABYFOOD,DINNER,TURKEY&RICE,STR",1.659999967,7.94,0.899999976,52,0.338
"BABYFOOD,DINNER,TURKEY&RICE,JR",1.25,9.57,1.0,56,0.239
"BABYFOOD,DINNER,VEG&TURKEY,STR",1.539999962,7.62,1.5,48,0.236
"BABYFOOD,DINNER,VEG&TURKEY,JR",1.360000014,7.55,0.899999976,53,0.485
"BABYFOOD,DINNER,VEG&TURKEY,TODD",0.0,8.0,0.0,80,0.0
"BABYFOOD,DINNER,MACARONI&CHS,STR",1.269999981,8.95,0.699999988,67,1.291
"BABYFOOD,DINNER,MACARONI&CHS,JR",1.320000052,8.2,0.300000012,61,1.175
"BABYFOOD,VEG,GRN BNS,STR",1.879999995,6.29,2.200000048,27,0.039
"BABYFOOD,VEG,GRN BNS,JR",1.080000043,5.7,1.899999976,24,0.023
"BABYFOOD,GRN BNS,DICES,TODD",1.059999943,5.7,1.299999952,29,0.044
"BABYFOOD,VEG,GRN BNS&POTATOES",2.349999905,9.0,1.399999976,62,1.117
"BABYFOOD,VEG,BEETS,STR",6.090000153,7.7,1.899999976,34,0.016
"BABYFOOD,VEG,CARROTS,STR",3.640000105,6.0,1.700000048,27,0.018
"BABYFOOD,VEG,CARROTS,JR",3.160000086,7.2,1.700000048,32,0.036
"Babyfood, vegetables, squash, strained",3.369999886,5.73,0.899999976,28,0.02
"BABYFOOD,VEG,SQUASH,JR",3.24000001,5.73,0.899999976,24,0.02
"BABYFOOD,VEG,SWT POTATOES,STR",4.050000191,13.2,1.5,57,0.021
"BABYFOOD,VEG,SWT POTATOES,JR",4.239999771,13.9,1.5,60,0.021
"BABYFOOD,POTATOES,TODDLER",0.910000026,11.73,0.899999976,52,0.015
"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",2.930000067,9.3,2.0,50,0.095
"BABYFOOD,APPLS,DICES,TODD",10.82999992,12.1,0.899999976,51,0.02
"BABYFOOD,FRUIT,APPLSAUC,STR",9.869999886,10.8,1.700000048,41,0.032
"BABYFOOD,FRUIT,APPLSAUC,JR",8.479999542,10.3,1.700000048,37,0.0
"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",1.409999967,16.3,1.5,60,0.0
"BABYFOOD,VEG,CORN,CRMD,STR",1.230000019,14.1,2.099999905,57,0.076
"BABYFOOD,VEG,CORN,CRMD,JR",1.480000019,16.25,2.099999905,65,0.074
